amfi_code,annual_return_pct,volatility_pct,sharpe_ratio,max_drawdown_pct,scheme_name
100016,3.6324687080969253,14.548134802183876,-0.16273778900836658,-24.7344408806733,HDFC Top 100 Fund - Regular Plan - Growth
100025,4.3781224757101,3.9052455281001603,-0.41530744036954764,-4.308263824636346,HDFC Short Term Debt Fund - Regular - Growth
100033,31.253943549713135,18.936710835214164,1.3335971473330852,-16.21720857464485,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,23.931060444318454,14.56821284745432,1.230834600789881,-11.291596329323077,ABSL Frontline Equity Fund - Regular - Growth
101207,11.286684498581657,25.797322217077717,0.2049315217329764,-35.44691649336603,ABSL Small Cap Fund - Regular - Growth
101208,6.275257769506415,0.5064371352310746,0.5435181394840283,-0.16224980244717319,ABSL Liquid Fund - Regular - Growth
102885,18.510427388856975,12.836628397860558,0.9745882642315992,-10.859862152502323,UTI Nifty 50 Index Fund - Regular - Growth
102886,2.805821074938186,18.1345762973113,-0.17613749958610253,-28.00112356639287,UTI Mid Cap Fund - Regular - Growth
102887,17.653467644260967,15.758366917913,0.7395098556192474,-21.53982711238323,UTI Flexi Cap Fund - Regular - Growth
118632,24.351578734954238,14.148352294996661,1.2970823988772162,-17.41407508665723,Nippon India Large Cap Fund - Regular - Growth
118633,16.796535611096864,13.997213649186149,0.7713346299979222,-18.629743138595508,Nippon India Large Cap Fund - Direct - Growth
118634,19.49789778947717,25.24152094634045,0.5347497806559123,-23.34488614483311,Nippon India Small Cap Fund - Regular - Growth
118635,16.33153941139671,12.983158874316302,0.7957646911211178,-11.650624505409093,Nippon India ETF Nifty 50 BeES
118636,5.209275230246191,3.9855381553882614,-0.19839849448807464,-8.316361763638701,Nippon India Gilt Securities Fund - Regular - Growth
119092,7.174178856308622,13.950661341123846,0.08416653716963009,-14.401617909337267,Axis Bluechip Fund - Regular - Growth
119093,8.666206468402038,13.983295593638859,0.1906708222355624,-21.75139637014823,Axis Bluechip Fund - Direct - Growth
119094,29.510935156102814,19.40711742333474,1.2114594168340387,-20.960883862039193,Axis Midcap Fund - Regular - Growth
119095,4.702397872905184,25.066580232600433,-0.05176622080291649,-51.67775370852657,Axis Small Cap Fund - Regular - Growth
119120,5.760338337711723,3.9670623690338718,-0.06041287985765728,-4.328728923970098,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,25.97676685285746,13.74143414187964,1.4537614230507756,-15.012385498645333,SBI Bluechip Fund - Regular Plan - Growth
119552,21.872286899571126,13.939367612717493,1.1386662107318373,-11.8034935027643,SBI Bluechip Fund - Direct Plan - Growth
119598,35.32029850274468,25.14057862438468,1.1662539252102155,-28.706005721764555,SBI Small Cap Fund - Regular Plan - Growth
119599,5.203539522009115,24.950125122855862,-0.03192210355936362,-52.574221170128496,SBI Small Cap Fund - Direct Plan - Growth
120503,19.21194279616114,13.884437513119794,0.951564856961386,-13.897862823061635,ICICI Pru Bluechip Fund - Regular - Growth
120504,23.65907456364489,14.36378056673665,1.2294168990954522,-12.588275606922513,ICICI Pru Bluechip Fund - Direct - Growth
120505,33.97498596741138,19.290949406318187,1.4501611806751713,-18.188513572116292,ICICI Pru Midcap Fund - Regular - Growth
120506,17.79484908335465,15.230516379673078,0.7744221396916172,-19.82565826298267,ICICI Pru Value Discovery Fund - Regular - Growth
120507,6.9765446606042,0.4939126259512018,1.9771607553532804,-0.09773140045925681,ICICI Pru Liquid Fund - Regular - Growth
120841,14.055333035228657,13.46379580078445,0.5982958412633771,-17.573614164687285,Kotak Bluechip Fund - Regular - Growth
120842,8.17582221915567,17.89471500657187,0.12159021355504095,-24.003511326274882,Kotak Emerging Equity Fund - Regular - Growth
120843,31.318423320461932,15.886986523609254,1.5936580095184731,-12.97396816518679,Kotak Flexicap Fund - Regular - Growth
120844,6.66641700592201,0.5133170487371137,1.2982561314913648,-0.11629327956168764,Kotak Liquid Fund - Regular - Growth
125497,19.570531955818304,14.668866752399518,0.9251247683191648,-15.200013055606393,HDFC Top 100 Fund - Direct Plan - Growth
125498,12.765578290291412,18.352430087335772,0.3686475446627664,-21.117279560132122,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,31.051613449565927,14.193706754620344,1.7649803453499637,-11.26572907502827,Mirae Asset Large Cap Fund - Regular - Growth
148568,23.100694175845483,15.429144469823303,1.1083371608381423,-15.27259422823477,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,32.72412420725268,17.6740066913467,1.512058056441552,-16.396742946932633,Mirae Asset Tax Saver Fund - Regular - Growth
149322,14.062109121201694,14.353859818510514,0.5616683751366252,-14.844576917771747,DSP Top 100 Equity Fund - Regular - Growth
149323,30.44323367927109,17.74615939755083,1.3773816143364817,-17.24810575345138,DSP Midcap Fund - Regular - Growth
149324,35.0873865939471,24.840205005242076,1.1709801343349917,-31.17190030063422,DSP Small Cap Fund - Regular - Growth
